latitude,longitude,elevation in feet,key saddle latitude,key saddle longitude,prominence in feet,isolation latitude,isolation longitude,isolation in km
-9.1217,-77.6042,22099,-21.7225,-68.2733,9065,-27.1075,-68.5417,2207.6431
-13.3333,-72.5450,20531,-13.4400,-72.3575,8307,-13.7883,-71.2342,150.5436
-15.5458,-72.6608,21007,-15.8575,-70.5767,7238,-15.8542,-68.5408,442.9425
-15.3300,-73.4458,18011,-15.1833,-73.7475,6706,-15.3975,-72.9225,56.5936
-15.8200,-71.8800,20597,-15.1442,-71.5475,6503,-15.5517,-72.5958,82.3150
-10.2683,-76.9050,21515,-10.0958,-76.9417,6450,-9.1250,-77.6008,147.7233
-10.4308,-75.4225,11824,-10.6325,-75.3875,5716,-10.4305,-75.4220,0.1000
-9.0275,-77.6633,20875,-9.0508,-77.5908,5406,-9.1000,-77.6242,9.1092
-9.5150,-77.3108,20833,-9.2883,-77.3900,5292,-9.1325,-77.5942,52.5224
-11.9075,-75.0542,18162,-11.5925,-75.5617,5085,-11.8933,-75.9808,101.1453
-8.6850,-77.7908,18799,-8.6950,-77.6733,4935,-8.8692,-77.7183,21.7558
-8.8942,-77.7092,20387,-8.9125,-77.5817,4774,-9.0267,-77.6633,15.4100
-10.5308,-75.9317,18727,-10.6575,-76.0733,4712,-10.3067,-76.8792,106.6696
-15.4075,-72.8917,19753,-15.3792,-72.5583,4557,-15.5175,-72.6650,27.2002
-13.2500,-72.8200,19606,-13.3433,-72.5617,4534,-13.3308,-72.5475,30.8515
-9.2025,-77.5192,20173,-9.0825,-77.5367,4517,-9.2550,-77.4792,7.0255
-9.3825,-77.3300,20564,-9.4658,-77.3150,4167,-9.3817,-77.3308,0.1299
-12.2592,-75.9592,19274,-12.1650,-76.0333,4153,-10.3083,-76.8817,238.1383
-13.3608,-72.5942,19356,-13.3375,-72.7692,4114,-13.3325,-72.5483,5.8722
-13.5567,-72.9317,17086,-13.5683,-72.8242,4088,-13.3592,-72.8350,24.2275
-12.3167,-74.5000,16164,-13.4383,-74.2367,4039,-11.9525,-74.8267,53.7323
-13.2317,-73.0908,18562,-13.2167,-72.9650,4015,-13.2508,-72.8242,28.9792
-8.7175,-77.0425,15685,-9.3117,-76.6225,3884,-9.1717,-77.2950,57.3948
-13.4867,-73.6608,15465,-13.7075,-73.3550,3825,-13.3033,-73.4650,29.3483
-13.5167,-71.7917,15764,-13.5075,-72.0058,3675,-13.2783,-71.9650,32.4952
-13.7817,-73.1950,16207,-14.2533,-73.3808,3632,-13.5725,-72.9317,36.8311
-11.9942,-75.9933,18812,-11.2158,-76.4808,3629,-12.2575,-75.9600,29.2641
-13.3058,-73.4508,16030,-12.5108,-74.3367,3606,-13.2283,-73.2167,26.7853
-11.8975,-74.8500,17388,-11.8317,-74.9567,3573,-11.9200,-75.0367,20.4873
-15.4392,-73.8767,15108,-15.4075,-73.5575,3567,-15.3158,-73.4800,44.7187
-9.9592,-77.2342,18556,-9.6858,-77.2533,3488,-9.8075,-77.2442,16.9093
-12.8725,-74.1492,15977,-12.8233,-74.0400,3474,-13.2742,-74.6458,69.8279
-13.3783,-72.7417,18884,-13.4033,-72.7092,3458,-13.2708,-72.7942,13.1830
-8.8417,-78.0058,16893,-10.1375,-77.3008,3455,-8.7083,-77.8292,24.3980
-12.3333,-75.9500,18891,-12.2967,-75.9450,3409,-12.2617,-75.9583,7.9798
-10.4858,-76.7233,18635,-10.3842,-76.8358,3337,-10.3108,-76.8808,25.9251
-9.1058,-77.4900,19468,-9.1308,-77.5108,3320,-9.0867,-77.5708,9.0457
-13.4408,-73.5458,14311,-13.4567,-73.5858,3314,-13.4867,-73.6400,11.3877
-8.1642,-77.4617,15406,-8.1358,-77.2908,3238,-8.2592,-77.7167,29.9973
-9.6308,-76.4750,16161,-9.8675,-76.5175,3192,-9.6875,-77.0308,61.3248
-13.5517,-73.3100,13740,-13.6050,-73.2717,3189,-13.5217,-73.1833,14.1072
-10.3267,-77.2700,16830,-10.1967,-77.2225,3136,-10.3333,-77.0400,25.2020
-15.4067,-72.1667,18402,-15.3367,-72.8442,3120,-15.7100,-71.8850,45.1598
-8.4092,-77.8392,16637,-8.5683,-77.6917,3071,-8.4093,-77.8396,0.1000
-9.4108,-77.4167,20118,-9.3867,-77.3967,3038,-9.3675,-77.3708,7.0145
-13.5208,-73.1633,14763,-13.6325,-73.1275,2989,-13.3508,-73.1142,19.5469
-9.7608,-76.0125,12014,-9.7233,-76.1000,2897,-9.7608,-76.1525,15.3604
-10.4692,-76.7733,18458,-10.4633,-76.7442,2865,-10.4858,-76.7233,5.7460
-10.7183,-75.3925,9760,-10.6342,-75.5058,2818,-10.8100,-75.5008,15.5944
-9.0867,-77.5742,20583,-9.0992,-77.5900,2808,-9.0859,-77.5748,0.1000
-15.5208,-71.6867,18310,-15.2275,-71.9342,2786,-15.5217,-71.6875,0.1284
-11.8942,-75.9842,18638,-11.9033,-76.0142,2785,-11.9025,-76.0442,6.6009
-13.3150,-72.3825,17716,-13.3642,-72.4767,2782,-13.2900,-72.5025,13.2938
-8.7742,-76.6375,14662,-8.8033,-76.6625,2773,-8.8817,-76.8900,30.2153
-12.4150,-75.6475,17650,-12.0367,-75.7958,2772,-12.3017,-75.9167,31.8452
-9.8075,-77.2442,18510,-9.8225,-77.2183,2762,-9.5792,-77.3083,26.2182
-14.7400,-73.7075,16922,-14.6058,-73.4283,2739,-15.3083,-73.4575,68.3908
-11.4400,-74.9858,16404,-11.4617,-74.9467,2717,-11.7058,-74.8750,31.7938
-13.6008,-73.4142,13667,-13.6308,-73.3467,2716,-13.5967,-73.5075,10.1103
-11.7067,-74.8750,16505,-11.6850,-74.9233,2710,-11.7333,-74.9492,8.6067
-13.8858,-71.8750,14471,-13.9708,-71.8167,2683,-13.9700,-71.9033,9.8024
-13.6367,-73.0317,13868,-13.6858,-73.0208,2671,-13.7083,-73.0683,8.8660
-10.2292,-76.0683,15777,-10.3342,-76.0508,2631,-10.4217,-76.0283,21.7383
-9.0108,-76.6233,11437,-9.0217,-76.6700,2625,-8.9525,-76.6617,7.7065
-14.0200,-71.6325,15557,-14.1592,-71.4942,2582,-13.9167,-71.5600,13.8590
-8.9258,-76.4808,10866,-8.9433,-76.5583,2553,-8.8617,-76.5508,10.4707
-8.9942,-77.6150,19973,-9.0133,-77.6450,2533,-9.0267,-77.6617,6.1899
-11.5317,-75.0008,16263,-11.6758,-74.8867,2507,-11.4408,-74.9858,10.1802
-9.8208,-77.2075,18254,-9.8883,-77.1817,2497,-9.8083,-77.2433,4.1675
-15.0625,-73.4392,15291,-14.9700,-73.5500,2496,-15.0792,-73.2742,17.8352
-9.2700,-77.4808,20104,-9.2517,-77.5100,2493,-9.1333,-77.5917,19.3979
-13.2267,-73.2150,16404,-13.2225,-73.1750,2487,-13.2233,-73.1200,10.3027
-14.1125,-71.9808,15282,-14.3333,-71.9600,2484,-14.1092,-71.7842,21.2406
-13.3792,-71.9842,14888,-13.4883,-71.9350,2464,-13.2883,-71.9767,10.0820
-10.4217,-75.5517,8622,-10.4558,-75.5575,2461,-10.4058,-75.6008,5.6610
-9.4808,-77.0892,16574,-9.5142,-77.0625,2460,-9.5167,-77.2617,19.3516
-15.2367,-72.6392,17962,-14.9517,-72.2508,2457,-15.5033,-72.6425,29.6005
-8.8942,-77.6642,19717,-8.8950,-77.6775,2454,-8.8942,-77.7067,4.7676
-13.9308,-71.8083,14284,-13.9117,-71.8492,2441,-13.9975,-71.8150,7.4109
-13.2892,-72.5025,17762,-13.3325,-72.5125,2398,-13.3300,-72.5308,5.4613
-8.8658,-77.5992,19416,-8.8758,-77.6417,2382,-8.8654,-77.5998,0.1000
-14.2150,-71.7550,15643,-14.2967,-71.7650,2382,-14.4200,-71.7583,22.6843
-12.0908,-75.3850,15016,-12.2767,-75.3267,2382,-12.1792,-75.4842,14.5601
-14.3317,-73.7633,16669,-14.3583,-73.6583,2345,-14.7392,-73.7083,45.4752
-9.7867,-77.5217,16181,-9.5467,-77.6200,2336,-9.6750,-77.3175,25.5826
-11.9375,-74.8258,17106,-11.9050,-74.8317,2330,-11.9000,-74.8508,4.9619
-9.3033,-76.0208,4878,-9.1908,-76.0908,2323,-9.3475,-76.0242,4.8986
-9.2233,-76.4567,9229,-9.1892,-76.5142,2307,-9.1942,-76.5467,10.4034
-13.1558,-75.0133,17312,-12.8150,-75.4933,2299,-12.9150,-75.0433,26.8413
-10.2225,-75.5642,8707,-10.2758,-75.5083,2297,-10.2533,-75.5992,5.1321
-9.3675,-77.3708,20364,-9.3792,-77.3608,2287,-9.3808,-77.3308,4.6343
-12.5583,-74.4850,15206,-12.2408,-75.0892,2267,-12.3217,-74.5033,26.2570
-9.4800,-76.4300,15091,-9.5042,-76.4592,2263,-9.5000,-76.5000,7.9980
-13.7958,-71.6967,15856,-13.9050,-71.6075,2257,-13.9058,-71.5742,17.9848
-10.2942,-76.8917,20734,-10.2842,-76.9017,2250,-10.2750,-76.9067,2.6822
-13.8058,-74.6250,15833,-14.3833,-74.5025,2244,-13.4783,-74.6500,36.3340
-9.9133,-75.8017,13490,-9.9075,-75.8300,2240,-10.1467,-75.8575,26.5242
-13.4008,-72.6650,17742,-13.3883,-72.6458,2231,-13.3983,-72.6067,6.3244
-9.2400,-77.8225,16158,-9.1392,-77.8625,2218,-9.0575,-77.9167,22.6836
-12.5442,-75.7850,17637,-12.6525,-75.6842,2214,-12.4150,-75.6475,20.6787
-11.1300,-75.8233,16312,-10.9308,-75.9667,2211,-11.5058,-76.1200,52.6989
-14.6258,-72.4658,17864,-15.0900,-72.5558,2205,-15.2358,-72.6400,70.0472
-9.0108,-76.9042,14891,-8.9875,-76.8667,2195,-8.8783,-77.0517,21.8603
-10.0533,-77.0992,17500,-9.8558,-77.0842,2179,-10.0092,-77.1758,9.7216
-10.6625,-77.4792,7595,-10.6725,-77.4525,2176,-10.6392,-77.3875,10.3565
-9.0975,-76.3675,10511,-9.0542,-76.6175,2175,-8.9333,-76.4808,22.0221
-9.1025,-77.6192,21804,-9.1117,-77.6142,2172,-9.1167,-77.6042,2.3423
-14.3283,-73.0833,16837,-14.3792,-73.0392,2172,-14.6367,-72.7892,46.5780
-13.1117,-73.6258,14947,-13.1192,-73.6408,2169,-13.1675,-73.6383,6.3240
-8.2517,-77.7250,16046,-8.3242,-77.7608,2162,-8.4083,-77.8367,21.2493
-15.7208,-71.8558,19652,-15.7575,-71.8642,2156,-15.7202,-71.8555,0.1000
-12.1800,-75.8792,17900,-12.1950,-75.8783,2149,-12.2292,-75.9658,10.8871
-13.8008,-72.6583,16377,-13.8558,-72.6792,2142,-14.0217,-72.7208,25.3490
-13.5867,-73.5683,14356,-13.5333,-73.6383,2142,-13.4975,-73.6375,12.3839
-11.0267,-75.4642,11581,-11.0208,-75.4917,2139,-11.0425,-75.5242,6.7867
-10.5025,-76.0125,16351,-10.4867,-75.9558,2126,-10.5300,-75.9700,5.5581
-11.7342,-74.9492,16617,-11.7783,-74.9725,2116,-11.8183,-74.9908,10.3592
-10.4683,-76.8542,17604,-10.4233,-76.8200,2112,-10.4067,-76.8767,7.2521
-11.2967,-76.4733,17457,-11.3383,-76.4275,2110,-11.5400,-76.2475,36.4951
-10.4117,-76.9750,18379,-10.3925,-76.8775,2107,-10.4167,-76.9342,4.5050
-14.1542,-72.1433,15085,-14.1842,-72.1875,2100,-14.1250,-72.0033,15.4560
-15.9267,-72.1792,15295,-15.8833,-72.0967,2097,-15.8742,-72.0767,12.4190
-13.2150,-72.9967,16699,-13.1900,-72.9933,2096,-13.2008,-73.0342,4.3569
-14.0400,-74.0617,15459,-14.1683,-74.2267,2093,-14.2783,-73.8267,36.5920
-8.8025,-77.7350,17847,-8.8267,-77.6758,2083,-8.8633,-77.7192,6.9498
-12.5650,-74.6017,15127,-12.5767,-74.5000,2076,-12.5525,-74.4908,12.1238
-8.4808,-77.1525,14724,-8.6383,-77.0417,2060,-8.4642,-77.1433,2.1015
-15.7358,-72.0425,16738,-15.7817,-72.0208,2060,-15.7042,-71.9633,9.1812
-8.7842,-77.3450,14419,-8.7017,-77.5375,2054,-8.6625,-77.2017,20.7323
